 
****************************************
Report : timing
        -path full
        -delay max
        -max_paths 1
        -sort_by group
Design : parallel
Version: K-2015.06-SP4
Date   : Sun Dec 10 19:40:52 2017
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

  Startpoint: z_reg[0][31]
              (rising edge-triggered flip-flop clocked by c)
  Endpoint: sine[15] (output port)
  Path Group: default
  Path Type: max

  Point                                                   Incr       Path
  U9335/Y (AND2X2)                                        0.03       4.65 f
  U8519/Y (OR2X2)                                         0.04       4.70 f
  U8801/Y (OR2X2)                                         0.04       4.73 f
  U8802/Y (INVX1)                                         0.00       4.73 r
  U11765/Y (NAND3X1)                                      0.01       4.74 f
  U8793/Y (BUFX2)                                         0.03       4.77 f
  U11766/Y (NAND3X1)                                      0.03       4.80 r
  U9524/Y (INVX1)                                         0.02       4.82 f
  U9526/Y (INVX1)                                         0.01       4.83 r
  U10789/Y (INVX1)                                        0.02       4.85 f
  U11916/Y (AOI22X1)                                      0.04       4.89 r
  U8914/Y (BUFX2)                                         0.04       4.93 r
  U8259/Y (XNOR2X1)                                       0.03       4.96 f
  U11917/Y (MUX2X1)                                       0.04       5.00 r
  U11968/Y (NAND3X1)                                      0.02       5.03 f
  U8813/Y (BUFX2)                                         0.04       5.06 f
  U11969/Y (OAI21X1)                                      0.04       5.10 r
  U6632/Y (INVX2)                                         0.02       5.13 f
  U11970/Y (OAI21X1)                                      0.04       5.17 r
  U11971/Y (OAI21X1)                                      0.02       5.19 f
  U11972/Y (OAI21X1)                                      0.04       5.23 r
  U11973/Y (OAI21X1)                                      0.02       5.25 f
  U11975/Y (OAI21X1)                                      0.05       5.30 r
  U11976/Y (OAI21X1)                                      0.03       5.33 f
  U11978/Y (NAND3X1)                                      0.03       5.36 r
  U8714/Y (BUFX2)                                         0.04       5.40 r
  U11979/Y (OAI21X1)                                      0.01       5.41 f
  U11980/Y (NAND3X1)                                      0.03       5.44 r
  U8922/Y (BUFX2)                                         0.04       5.48 r
  U7467/Y (INVX1)                                         0.02       5.50 f
  U11983/Y (OAI21X1)                                      0.04       5.54 r
  U11984/Y (OAI21X1)                                      0.03       5.57 f
  U11985/Y (NAND3X1)                                      0.03       5.59 r
  U8764/Y (BUFX2)                                         0.03       5.63 r
  U8751/Y (AND2X2)                                        0.03       5.66 r
  U7802/Y (INVX1)                                         0.02       5.68 f
  U11986/Y (OAI21X1)                                      0.02       5.70 r
  U11987/Y (AOI21X1)                                      0.02       5.72 f
  U9683/Y (BUFX2)                                         0.03       5.76 f
  U11988/Y (AOI22X1)                                      0.02       5.78 r
  U8060/Y (BUFX2)                                         0.03       5.81 r
  U8057/Y (INVX1)                                         0.02       5.83 f
  U8131/Y (NOR3X1)                                        0.02       5.85 r
  U7210/Y (INVX1)                                         0.03       5.88 f
  U7966/Y (AND2X2)                                        0.04       5.92 f
  U7916/Y (INVX1)                                         0.00       5.93 r
  U7729/Y (INVX1)                                         0.02       5.94 f
  U12156/Y (OAI21X1)                                      0.04       5.98 r
  U8268/Y (INVX1)                                         0.03       6.01 f
  U12157/Y (NAND3X1)                                      0.03       6.04 r
  U8861/Y (BUFX2)                                         0.04       6.08 r
  U10176/Y (INVX1)                                        0.02       6.10 f
  U12158/Y (NAND3X1)                                      0.03       6.12 r
  U8795/Y (BUFX2)                                         0.04       6.16 r
  U12159/Y (NAND3X1)                                      0.01       6.17 f
  U9445/Y (INVX1)                                         0.01       6.18 r
  U9444/Y (INVX1)                                         0.02       6.20 f
  U8129/Y (XNOR2X1)                                       0.04       6.24 r
  U8039/Y (MUX2X1)                                        0.04       6.27 f
  U8033/Y (INVX4)                                         0.04       6.31 r
  U8294/Y (INVX2)                                         0.03       6.34 f
  U12365/Y (OAI21X1)                                      0.04       6.38 r
  U12366/Y (OAI21X1)                                      0.03       6.41 f
  U12367/Y (OAI21X1)                                      0.04       6.45 r
  U12368/Y (OAI21X1)                                      0.02       6.47 f
  U12369/Y (OAI21X1)                                      0.02       6.49 r
  U10807/Y (INVX1)                                        0.03       6.52 f
  U12370/Y (OAI21X1)                                      0.05       6.57 r
  U12372/Y (NAND3X1)                                      0.02       6.59 f
  U9110/Y (BUFX2)                                         0.03       6.63 f
  U12373/Y (OAI21X1)                                      0.04       6.67 r
  U12374/Y (OAI21X1)                                      0.02       6.69 f
